sim_time	behavior_0leg_0	behavior_0leg_1	behavior_0leg_2	behavior_0leg_3	behavior_0leg_4	behavior_0leg_5	behavior_1leg_0	behavior_1leg_1	behavior_1leg_2	behavior_1leg_3	behavior_1leg_4	behavior_1leg_5	behavior_2leg_0	behavior_2leg_1	behavior_2leg_2	behavior_2leg_3	behavior_2leg_4	behavior_2leg_5	behavior_3leg_0	behavior_3leg_1	behavior_3leg_2	behavior_3leg_3	behavior_3leg_4	behavior_3leg_5	behavior_4leg_0	behavior_4leg_1	behavior_4leg_2	behavior_4leg_3	behavior_4leg_4	behavior_4leg_5	behavior_5leg_0	behavior_5leg_1	behavior_5leg_2	behavior_5leg_3	behavior_5leg_4	behavior_5leg_5	behavior_6leg_0	behavior_6leg_1	behavior_6leg_2	behavior_6leg_3	behavior_6leg_4	behavior_6leg_5	behavior_7leg_0	behavior_7leg_1	behavior_7leg_2	behavior_7leg_3	behavior_7leg_4	behavior_7leg_5	behavior_8leg_0	behavior_8leg_1	behavior_8leg_2	behavior_8leg_3	behavior_8leg_4	behavior_8leg_5	
0	0.5	0.5	0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.5	0.5	0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.5	0.5	0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.5	0.5	0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.5	0.5	0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.5	0.5	0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.5	0.5	0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.5	0.5	0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.5	0.5	0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0.5	0.5	0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.1503	0.5	0.5	0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0.000229547	0.000229547	0.000229547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.167	0.5	0.5	0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0.000512853	0.000512853	0.000512853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
