iteration	J-0	J-1	J-2	J-3	J-4	J-5	J-6	J-7	J-8	J-9	J-10	J-11	J-12	J-13	J-14	J-15	J-16	J-17	Sensor
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.39365	1.75952	-0.508215	-0.424398	1.81469	-0.555007	0.39365	1.75952	-0.508215	-0.424398	1.81469	-0.555007	0.39365	1.75952	-0.508215	-0.424398	1.81469	-0.555007	0
2	0.401013	1.76666	-0.505778	-0.427976	1.80129	-0.562261	0.401013	1.76666	-0.505778	-0.427976	1.80129	-0.562261	0.401013	1.76666	-0.505778	-0.427976	1.80129	-0.562261	0
3	0.407406	1.77515	-0.503235	-0.430461	1.78857	-0.568536	0.407406	1.77515	-0.503235	-0.430461	1.78857	-0.568536	0.407406	1.77515	-0.503235	-0.430461	1.78857	-0.568536	0
4	0.412745	1.78497	-0.500686	-0.431756	1.77669	-0.573749	0.412745	1.78497	-0.500686	-0.431756	1.77669	-0.573749	0.412745	1.78497	-0.500686	-0.431756	1.77669	-0.573749	0
5	0.416951	1.79612	-0.498236	-0.431777	1.76582	-0.577842	0.416951	1.79612	-0.498236	-0.431777	1.76582	-0.577842	0.416951	1.79612	-0.498236	-0.431777	1.76582	-0.577842	0
6	0.419944	1.80853	-0.495983	-0.430464	1.75609	-0.580783	0.419944	1.80853	-0.495983	-0.430464	1.75609	-0.580783	0.419944	1.80853	-0.495983	-0.430464	1.75609	-0.580783	0
7	0.421655	1.8221	-0.494015	-0.42778	1.74762	-0.582568	0.421655	1.8221	-0.494015	-0.42778	1.74762	-0.582568	0.421655	1.8221	-0.494015	-0.42778	1.74762	-0.582568	0
8	0.422022	1.83672	-0.492408	-0.423716	1.74047	-0.583219	0.422022	1.83672	-0.492408	-0.423716	1.74047	-0.583219	0.422022	1.83672	-0.492408	-0.423716	1.74047	-0.583219	0
9	0.420997	1.85222	-0.491223	-0.418289	1.7347	-0.582786	0.420997	1.85222	-0.491223	-0.418289	1.7347	-0.582786	0.420997	1.85222	-0.491223	-0.418289	1.7347	-0.582786	0
10	0.418544	1.86841	-0.490497	-0.411545	1.73031	-0.581339	0.418544	1.86841	-0.490497	-0.411545	1.73031	-0.581339	0.418544	1.86841	-0.490497	-0.411545	1.73031	-0.581339	0
