iteration	fitness_arr_avg	fitness_arr_max	fitness_arr_min	fitness_arr_stab_avg	fitness_arr_stab_max	fitness_arr_stab_min	fitness_arr_coll_avg	fitness_arr_coll_max	fitness_arr_coll_min	fitness_arr_powr_avg	fitness_arr_powr_max	fitness_arr_powr_min	fitness_arr_dist_avg	fitness_arr_dist_max	fitness_arr_dist_min	fitness_arr_slip_avg	fitness_arr_slip_max	fitness_arr_slip_min
0.000000	-7.163310	-7.065556	-7.260529	0.075423	0.094398	0.063711	6.906426	7.001919	6.827610	0.000000	0.000000	0.000000	0.079618	0.082861	0.077622	0.261079	0.337793	0.209030
1.000000	-7.090400	-5.664751	-9.237700	0.291114	0.453088	0.142924	6.460111	8.564016	5.211581	0.000000	0.000000	0.000000	0.075332	0.081790	0.070538	0.414507	0.525084	0.290970
2.000000	-6.144321	-5.342723	-7.247438	0.162290	0.252166	0.103251	5.719735	6.826544	4.926281	0.000000	0.000000	0.000000	0.076333	0.078426	0.073526	0.338629	0.443144	0.302676
3.000000	-5.876260	-5.145274	-7.327158	0.201775	0.316705	0.140051	5.405997	6.835420	4.647038	0.000000	0.000000	0.000000	0.075365	0.079147	0.073469	0.343855	0.461538	0.254181
4.000000	-5.595471	-4.700447	-6.496915	0.219504	0.283189	0.170458	5.086148	5.896960	4.045284	0.000000	0.000000	0.000000	0.074520	0.076789	0.071749	0.364339	0.469900	0.302676
5.000000	-5.053618	-4.304658	-5.711200	0.211360	0.305838	0.144850	4.529507	5.194673	3.845652	0.000000	0.000000	0.000000	0.073329	0.077133	0.068614	0.386079	0.488294	0.294314
6.000000	-5.294059	-4.354315	-6.007376	0.248229	0.415805	0.114996	4.734322	5.624778	3.844526	0.000000	0.000000	0.000000	0.071435	0.074676	0.068977	0.382943	0.481605	0.326087
7.000000	-5.382448	-4.210545	-6.308323	0.263821	0.329559	0.168225	4.809766	5.772459	3.699240	0.000000	0.000000	0.000000	0.073037	0.076524	0.068155	0.381898	0.479933	0.329431
8.000000	-4.755857	-3.224464	-5.389728	0.253637	0.323392	0.208029	4.155106	4.848254	2.552829	0.000000	0.000000	0.000000	0.072828	0.079004	0.064539	0.419941	0.500000	0.322742
9.000000	-4.393589	-2.910374	-5.910732	0.281021	0.410017	0.206812	3.756532	5.375648	2.234422	0.000000	0.000000	0.000000	0.069758	0.074234	0.065245	0.425794	0.501672	0.324415
10.000000	-3.814472	-2.825538	-4.532339	0.276852	0.430623	0.150091	3.127215	3.964701	2.165467	0.000000	0.000000	0.000000	0.067437	0.070747	0.064120	0.477843	0.538462	0.404682
11.000000	-3.642038	-2.536456	-4.306736	0.272492	0.369154	0.184557	2.964159	3.579549	1.915396	0.000000	0.000000	0.000000	0.066603	0.070524	0.062630	0.471990	0.516722	0.416388
12.000000	-3.113445	-2.673213	-3.499382	0.218005	0.301733	0.137592	2.437695	2.786760	2.001194	0.000000	0.000000	0.000000	0.064203	0.067261	0.062686	0.521948	0.560201	0.479933
13.000000	-3.807766	-3.060675	-4.875721	0.271269	0.383517	0.125674	3.079665	4.085013	2.433954	0.000000	0.000000	0.000000	0.067416	0.072658	0.064600	0.524247	0.613712	0.434783
14.000000	-3.431318	-2.950451	-3.804884	0.207198	0.423443	0.114535	2.744265	3.162790	2.362497	0.000000	0.000000	0.000000	0.066967	0.068993	0.065671	0.546823	0.632107	0.471572
15.000000	-2.734486	-2.210546	-3.296603	0.206385	0.272964	0.156678	2.054887	2.598822	1.492874	0.000000	0.000000	0.000000	0.063785	0.069003	0.059847	0.536998	0.600334	0.494983
16.000000	-2.435982	-1.966410	-3.053916	0.210162	0.327284	0.146372	1.745485	2.300606	1.308870	0.000000	0.000000	0.000000	0.062725	0.065669	0.059282	0.543060	0.600334	0.496656
17.000000	-2.335554	-1.839732	-2.779859	0.220055	0.265576	0.175391	1.630556	2.061598	1.142044	0.000000	0.000000	0.000000	0.061043	0.065476	0.057323	0.545987	0.607023	0.486622
18.000000	-2.067692	-1.619478	-2.649454	0.222465	0.258748	0.192298	1.365109	1.897609	0.989520	0.000000	0.000000	0.000000	0.060225	0.066097	0.057076	0.540343	0.583612	0.473244
19.000000	-1.946731	-1.603150	-2.260324	0.217261	0.257792	0.176378	1.246970	1.523440	0.937109	0.000000	0.000000	0.000000	0.060142	0.064319	0.058183	0.542642	0.586957	0.503344
20.000000	-1.755699	-1.499212	-2.118482	0.217285	0.231117	0.192215	1.049053	1.376892	0.824845	0.000000	0.000000	0.000000	0.058298	0.062293	0.056339	0.547659	0.596990	0.494983
21.000000	-1.596512	-1.354450	-1.842553	0.212297	0.244676	0.178820	0.904570	1.104481	0.668215	0.000000	0.000000	0.000000	0.057770	0.060419	0.056613	0.537416	0.593646	0.496656
22.000000	-1.587160	-1.313047	-2.135248	0.231940	0.253144	0.211571	0.885507	1.366755	0.688617	0.000000	0.000000	0.000000	0.057879	0.062490	0.055388	0.527592	0.598662	0.451505
23.000000	-1.457331	-1.202988	-1.705829	0.233728	0.262821	0.199100	0.758274	0.963930	0.526234	0.000000	0.000000	0.000000	0.056829	0.058658	0.055791	0.522157	0.570234	0.493311
24.000000	-1.487275	-1.249647	-1.728970	0.258218	0.278877	0.221461	0.774937	1.017442	0.503461	0.000000	0.000000	0.000000	0.058421	0.060732	0.056992	0.512542	0.556856	0.458194
25.000000	-1.378905	-1.070417	-1.766168	0.271020	0.340407	0.239347	0.651681	0.946204	0.350285	0.000000	0.000000	0.000000	0.056547	0.059225	0.054346	0.512751	0.576923	0.441472
26.000000	-1.287005	-1.073517	-1.529189	0.297401	0.362301	0.260171	0.551161	0.720765	0.344712	0.000000	0.000000	0.000000	0.056958	0.059850	0.054800	0.495401	0.553512	0.421405
27.000000	-1.258148	-1.053629	-1.407516	0.268202	0.297720	0.238104	0.564433	0.705919	0.386887	0.000000	0.000000	0.000000	0.056719	0.058781	0.054533	0.482232	0.530100	0.448161
28.000000	-1.377797	-1.177927	-1.652851	0.300751	0.365508	0.256853	0.645158	0.877506	0.485132	0.000000	0.000000	0.000000	0.057242	0.060856	0.055697	0.489130	0.558528	0.446488
29.000000	-1.313663	-1.187294	-1.616926	0.277665	0.316192	0.229746	0.596522	0.839495	0.479496	0.000000	0.000000	0.000000	0.056553	0.060500	0.054672	0.496028	0.548495	0.441472
30.000000	-1.299938	-1.056731	-1.702530	0.285430	0.335010	0.236623	0.578605	0.931934	0.314176	0.000000	0.000000	0.000000	0.055526	0.058527	0.053467	0.491430	0.570234	0.436455
31.000000	-1.262570	-0.956200	-1.546277	0.300745	0.358431	0.253054	0.531245	0.817963	0.322226	0.000000	0.000000	0.000000	0.055833	0.058123	0.053908	0.486413	0.528428	0.428094
32.000000	-1.318325	-1.132894	-1.622231	0.301410	0.350925	0.258341	0.573418	0.832379	0.403912	0.000000	0.000000	0.000000	0.055458	0.057634	0.052618	0.498955	0.566890	0.463211
33.000000	-1.251168	-0.988067	-1.480311	0.304684	0.325753	0.274451	0.519672	0.731570	0.240838	0.000000	0.000000	0.000000	0.055629	0.058012	0.053969	0.482441	0.511706	0.419732
34.000000	-1.214955	-1.039813	-1.516688	0.322914	0.400192	0.271679	0.473058	0.724959	0.287625	0.000000	0.000000	0.000000	0.055516	0.059219	0.052983	0.474498	0.555184	0.419732
35.000000	-1.233174	-1.041757	-1.425461	0.321923	0.375766	0.283521	0.490483	0.669809	0.317623	0.000000	0.000000	0.000000	0.054776	0.056710	0.051903	0.475543	0.520067	0.438127
36.000000	-1.189621	-0.965443	-1.390811	0.294561	0.357400	0.233300	0.494849	0.654825	0.266108	0.000000	0.000000	0.000000	0.054221	0.058347	0.051606	0.454431	0.498328	0.424749
37.000000	-1.106640	-0.934159	-1.412127	0.290586	0.349966	0.249087	0.428733	0.711443	0.300840	0.000000	0.000000	0.000000	0.053733	0.056640	0.051493	0.441054	0.505017	0.384615
38.000000	-1.137286	-1.070251	-1.340236	0.293971	0.343631	0.254236	0.447658	0.646436	0.346920	0.000000	0.000000	0.000000	0.053548	0.055833	0.051134	0.449206	0.513378	0.403010
39.000000	-1.106394	-0.797744	-1.247856	0.297457	0.348575	0.235392	0.420453	0.591083	0.164434	0.000000	0.000000	0.000000	0.053615	0.055298	0.050244	0.442099	0.469900	0.416388
40.000000	-1.075682	-0.950126	-1.292090	0.301720	0.346135	0.258969	0.388300	0.609101	0.271202	0.000000	0.000000	0.000000	0.053720	0.055973	0.051559	0.439381	0.525084	0.391304
41.000000	-1.090374	-0.945530	-1.276509	0.328987	0.414980	0.261604	0.366789	0.519279	0.204651	0.000000	0.000000	0.000000	0.053145	0.055787	0.051326	0.447742	0.479933	0.408027
42.000000	-1.025989	-0.903304	-1.200359	0.280494	0.318790	0.256509	0.370537	0.517543	0.244258	0.000000	0.000000	0.000000	0.052717	0.054565	0.050827	0.427676	0.483278	0.376254
43.000000	-1.045641	-0.898999	-1.219949	0.314886	0.391942	0.274368	0.345283	0.488895	0.175085	0.000000	0.000000	0.000000	0.053909	0.056260	0.050453	0.439381	0.500000	0.386288
44.000000	-1.012359	-0.913356	-1.104319	0.311439	0.437278	0.261851	0.327050	0.425527	0.170777	0.000000	0.000000	0.000000	0.052552	0.054233	0.050111	0.426421	0.484950	0.384615
45.000000	-1.104025	-0.937468	-1.303062	0.318809	0.374805	0.271432	0.392335	0.598763	0.206032	0.000000	0.000000	0.000000	0.053816	0.056314	0.052070	0.446697	0.516722	0.376254
46.000000	-1.066576	-0.927235	-1.185934	0.299672	0.334623	0.267938	0.389200	0.488906	0.276303	0.000000	0.000000	0.000000	0.053107	0.055227	0.051026	0.430811	0.476589	0.394649
47.000000	-1.072811	-0.925587	-1.238152	0.337345	0.392191	0.300222	0.356797	0.573221	0.205525	0.000000	0.000000	0.000000	0.053396	0.055136	0.051620	0.432065	0.493311	0.391304
48.000000	-1.117917	-0.968304	-1.321877	0.352445	0.409150	0.291098	0.371288	0.570077	0.230342	0.000000	0.000000	0.000000	0.053769	0.056647	0.050771	0.447952	0.491639	0.414716
49.000000	-1.084044	-0.907596	-1.214616	0.347875	0.403410	0.297047	0.353468	0.557105	0.178011	0.000000	0.000000	0.000000	0.053336	0.058214	0.050778	0.436037	0.508361	0.401338
50.000000	-1.070065	-0.919900	-1.198052	0.359162	0.426038	0.314649	0.321579	0.500573	0.137324	0.000000	0.000000	0.000000	0.053192	0.055005	0.051297	0.442517	0.498328	0.403010
51.000000	-1.059985	-0.909157	-1.282671	0.371326	0.423454	0.301626	0.304952	0.453206	0.168338	0.000000	0.000000	0.000000	0.054630	0.058872	0.051502	0.438336	0.498328	0.384615
