iteration	fitness_arr_avg	fitness_arr_max	fitness_arr_min	fitness_arr_stab_avg	fitness_arr_stab_max	fitness_arr_stab_min	fitness_arr_coll_avg	fitness_arr_coll_max	fitness_arr_coll_min	fitness_arr_powr_avg	fitness_arr_powr_max	fitness_arr_powr_min	fitness_arr_dist_avg	fitness_arr_dist_max	fitness_arr_dist_min	fitness_arr_slip_avg	fitness_arr_slip_max	fitness_arr_slip_min
0.000000	4.025657	4.090713	3.871419	0.037719	0.043197	0.032317	-2.970831	-2.932824	-3.027995	0.000000	0.000000	0.000000	1.346026	1.395988	1.290805	0.253482	0.406685	0.178273
1.000000	2.504188	3.546463	2.129012	0.208557	0.383883	0.062275	-3.105167	-2.927453	-3.336564	0.000000	0.000000	0.000000	0.233971	1.388475	-0.603390	0.626393	0.735376	0.451253
2.000000	3.168724	3.795831	1.317046	0.136575	0.216492	0.079408	-3.008083	-2.899314	-3.155977	0.000000	0.000000	0.000000	0.921520	1.625243	-1.084818	0.624304	0.699164	0.518106
3.000000	3.050767	3.609272	1.297109	0.192113	0.274390	0.100855	-3.085413	-2.861537	-3.247559	0.000000	0.000000	0.000000	0.785948	1.416380	-1.155811	0.628482	0.729805	0.562674
4.000000	3.585795	3.917526	3.154251	0.185510	0.263037	0.109495	-3.061478	-2.903881	-3.194711	0.000000	0.000000	0.000000	1.340049	1.627669	0.891899	0.630223	0.724234	0.532033
5.000000	3.579315	4.046280	2.578413	0.164503	0.223696	0.102227	-3.080391	-2.940111	-3.213211	0.000000	0.000000	0.000000	1.248386	1.618090	0.327836	0.584958	0.665738	0.490251
6.000000	3.316162	3.837828	2.146129	0.166961	0.232934	0.059355	-3.084924	-2.994000	-3.283760	0.000000	0.000000	0.000000	1.008923	1.569596	-0.234118	0.610724	0.763231	0.506964
7.000000	3.667028	4.016725	3.400306	0.159292	0.242175	0.089257	-3.032371	-2.794173	-3.256444	0.000000	0.000000	0.000000	1.341303	1.555418	1.004251	0.547354	0.660167	0.286908
8.000000	3.624007	4.146682	3.006036	0.148654	0.193058	0.104521	-3.206190	-3.005969	-3.342091	0.000000	0.000000	0.000000	1.211667	1.520853	0.643456	0.645195	0.763231	0.493036
9.000000	3.996287	4.198836	3.707296	0.144416	0.215272	0.082931	-3.294826	-3.189348	-3.453860	0.000000	0.000000	0.000000	1.395668	1.584282	1.042860	0.549791	0.626741	0.406685
10.000000	4.021685	4.340239	3.571932	0.207892	0.254227	0.128900	-3.400773	-3.224858	-3.536805	0.000000	0.000000	0.000000	1.430127	1.620425	1.162274	0.601323	0.729805	0.554318
