iteration	fitness_arr_avg	fitness_arr_max	fitness_arr_min	fitness_arr_stab_avg	fitness_arr_stab_max	fitness_arr_stab_min	fitness_arr_coll_avg	fitness_arr_coll_max	fitness_arr_coll_min	fitness_arr_powr_avg	fitness_arr_powr_max	fitness_arr_powr_min	fitness_arr_dist_avg	fitness_arr_dist_max	fitness_arr_dist_min	fitness_arr_slip_avg	fitness_arr_slip_max	fitness_arr_slip_min
0.000000	-0.000909	-0.000907	-0.000909	0.001334	0.001433	0.001274	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000425	0.000525	0.000365	0.000000	0.000000	0.000000
1.000000	-0.104447	0.034368	-0.291188	0.004558	0.006841	0.002447	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.022325	0.164548	-0.069299	0.122214	0.289694	0.000000
2.000000	0.003227	0.157099	-0.095310	0.004231	0.005611	0.001999	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.116789	0.179267	0.021063	0.109331	0.220056	0.000000
3.000000	0.020532	0.093915	-0.123608	0.004470	0.008083	0.002948	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.115879	0.189538	-0.072804	0.090877	0.206128	0.030641
4.000000	-0.014247	0.242582	-0.118440	0.004711	0.005929	0.003076	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.163213	0.276299	0.134403	0.172750	0.270195	0.030641
5.000000	0.149364	0.297171	-0.124870	0.004275	0.006662	0.003350	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.229196	0.317244	0.062324	0.075557	0.194986	0.002786
6.000000	0.189637	0.321435	-0.069982	0.005359	0.011123	0.002537	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.263589	0.344187	0.130557	0.068593	0.189415	0.008357
7.000000	0.238248	0.368129	0.069400	0.005743	0.019080	0.003316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.308057	0.408140	0.143596	0.064067	0.122563	0.036212
8.000000	0.302010	0.419245	0.104250	0.005290	0.008249	0.002862	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.390865	0.458207	0.344709	0.083565	0.247911	0.013928
9.000000	0.348313	0.449932	0.193689	0.006478	0.012236	0.003472	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.419581	0.486062	0.298068	0.064790	0.100279	0.025070
10.000000	0.375612	0.536574	0.134684	0.006579	0.011372	0.003404	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.472721	0.582973	0.417887	0.090529	0.275766	0.025070
11.000000	0.426331	0.503089	0.341488	0.005430	0.008205	0.003048	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.527165	0.595817	0.499287	0.095404	0.172702	0.061281
12.000000	0.440092	0.567225	0.323045	0.006542	0.008306	0.003504	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.562233	0.666071	0.470627	0.115599	0.194986	0.072423
13.000000	0.342584	0.652117	-0.945269	0.011575	0.050619	0.004214	0.000002	0.000010	0.000000	0.000000	0.000000	0.000000	0.535916	0.764608	-0.267910	0.181755	0.626741	0.089136
14.000000	0.539614	0.682806	0.414392	0.005740	0.008148	0.003611	0.000006	0.000019	0.000000	0.000000	0.000000	0.000000	0.681850	0.787724	0.551708	0.136490	0.203343	0.091922
15.000000	0.635356	0.716919	0.553273	0.007401	0.009188	0.005064	0.000040	0.000152	0.000001	0.000000	0.000000	0.000000	0.759441	0.820208	0.691312	0.116643	0.158774	0.055710
16.000000	0.663095	0.772182	0.427676	0.010047	0.015347	0.005501	0.000102	0.000383	0.000003	0.000000	0.000000	0.000000	0.779441	0.871791	0.588660	0.106198	0.153203	0.066852
