iteration	fitness_arr_avg	fitness_arr_max	fitness_arr_min	fitness_arr_stab_avg	fitness_arr_stab_max	fitness_arr_stab_min	fitness_arr_coll_avg	fitness_arr_coll_max	fitness_arr_coll_min	fitness_arr_powr_avg	fitness_arr_powr_max	fitness_arr_powr_min	fitness_arr_dist_avg	fitness_arr_dist_max	fitness_arr_dist_min	fitness_arr_slip_avg	fitness_arr_slip_max	fitness_arr_slip_min
0.000000	-0.921092	-0.732745	-1.190128	0.427436	0.571615	0.317708	1.568019	1.692386	1.465822	0.000000	0.000000	0.000000	1.332023	1.381656	1.279218	0.257660	0.353760	0.192201
1.000000	-3.811708	-1.638870	-5.082527	1.467957	2.651205	0.832769	2.082309	2.894127	1.319982	0.000000	0.000000	0.000000	0.352765	1.351217	-0.813614	0.614206	0.699164	0.498607
2.000000	-2.645474	-1.629413	-3.775839	1.188837	1.810313	0.646275	1.494373	2.166924	1.159349	0.000000	0.000000	0.000000	0.680145	1.187736	0.066162	0.642409	0.735376	0.529248
3.000000	-2.032532	-1.422896	-2.774974	0.934536	1.648450	0.448867	1.279515	1.909725	1.114155	0.000000	0.000000	0.000000	0.735489	1.168382	0.525989	0.553969	0.693593	0.392758
4.000000	-2.048267	-1.443615	-2.675009	1.061890	1.327312	0.752614	1.285113	1.797074	1.114155	0.000000	0.000000	0.000000	0.731536	1.026148	0.301095	0.432799	0.662953	0.175487
5.000000	-1.976673	-1.291143	-3.003178	1.005762	1.961864	0.581933	1.359148	2.135723	1.114155	0.000000	0.000000	0.000000	0.852373	1.132037	0.468385	0.464136	0.693593	0.362117
6.000000	-1.843994	-1.074114	-2.753711	0.922889	1.278295	0.459466	1.391469	2.186260	1.114155	0.000000	0.000000	0.000000	0.928234	1.089674	0.741574	0.457869	0.526462	0.378830
7.000000	-2.063295	-1.230265	-3.467085	1.169817	2.538970	0.515561	1.182377	1.440781	1.114155	0.000000	0.000000	0.000000	0.826156	1.147763	0.395036	0.537256	0.760446	0.392758
8.000000	-1.525654	-1.183885	-1.922671	0.781200	0.940484	0.646097	1.135003	1.248871	1.114155	0.000000	0.000000	0.000000	0.855382	1.202687	0.459126	0.464833	0.559889	0.353760
9.000000	-1.297660	-0.984789	-1.964814	0.742217	1.185967	0.370616	1.125989	1.179950	1.114155	0.000000	0.000000	0.000000	0.998819	1.317124	0.633197	0.428273	0.618384	0.298050
10.000000	-1.525779	-0.894105	-2.076652	0.968110	1.457301	0.460627	1.138077	1.305532	1.114155	0.000000	0.000000	0.000000	1.023654	1.222766	0.633295	0.443245	0.626741	0.250696
11.000000	-2.061771	-0.701036	-3.480505	1.401308	2.274487	0.420565	1.155669	1.358178	1.114155	0.000000	0.000000	0.000000	1.002518	1.314161	0.679051	0.507312	0.674095	0.247911
12.000000	-1.547052	-0.733738	-2.370818	0.826251	1.533588	0.321447	1.138378	1.307938	1.114155	0.000000	0.000000	0.000000	0.779694	1.247387	0.277137	0.362117	0.557103	0.114206
13.000000	-1.616816	-1.018034	-2.360054	0.857976	1.552629	0.504644	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.713603	1.062121	0.524139	0.358287	0.506964	0.242340
14.000000	-2.420085	-1.301555	-4.827168	1.429106	3.423932	0.673557	1.181983	1.454822	1.114155	0.000000	0.000000	0.000000	0.512035	1.110257	0.073870	0.321031	0.562674	0.000000
15.000000	-1.794033	-1.242943	-3.260576	0.996287	1.734395	0.380599	1.205352	1.750068	1.114155	0.000000	0.000000	0.000000	0.790266	1.222898	0.203070	0.382660	0.543175	0.239554
16.000000	-1.600862	-0.970704	-2.169813	0.855187	1.476117	0.397574	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.764720	1.379727	0.138610	0.396240	0.626741	0.175487
17.000000	-1.809709	-1.165568	-2.789378	1.115695	2.016430	0.627043	1.145198	1.332510	1.114155	0.000000	0.000000	0.000000	0.863092	1.238077	0.275264	0.411908	0.635098	0.077994
18.000000	-1.774907	-1.207247	-2.255293	1.225965	1.707894	0.768160	1.126771	1.193670	1.114155	0.000000	0.000000	0.000000	0.893637	1.321856	0.155004	0.315808	0.557103	0.175487
19.000000	-2.031102	-1.016822	-3.707693	1.423142	2.528011	0.775552	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.927157	1.336444	0.452580	0.420961	0.518106	0.364902
20.000000	-1.990967	-1.152443	-2.724493	1.195998	2.016657	0.582863	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.670509	1.456885	-0.022712	0.351323	0.604457	0.000000
21.000000	-1.912143	-1.380637	-2.846728	1.130561	1.664635	0.670714	1.128321	1.227482	1.114155	0.000000	0.000000	0.000000	0.680305	1.244933	-0.067937	0.333565	0.571031	0.000000
22.000000	-1.827108	-1.393522	-3.311235	1.190958	2.990137	0.727583	1.116130	1.129955	1.114155	0.000000	0.000000	0.000000	0.901986	1.361302	-0.066391	0.422006	0.623955	0.072423
23.000000	-1.706630	-1.073714	-2.877641	1.191953	1.852928	0.749413	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	1.056651	1.418797	0.014435	0.457173	0.646240	0.097493
24.000000	-1.702600	-1.223582	-2.623197	1.160050	1.493860	0.609895	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.924669	1.335096	0.094735	0.353064	0.573816	0.083565
25.000000	-1.738495	-1.065004	-2.208305	1.116625	1.751798	0.583318	1.116293	1.131256	1.114155	0.000000	0.000000	0.000000	0.771233	1.287288	-0.005585	0.276811	0.481894	0.000000
26.000000	-1.986696	-1.287244	-3.304961	1.428414	2.922647	0.780584	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.929829	1.294516	0.045090	0.373955	0.671309	0.000000
27.000000	-1.744971	-1.213318	-2.604138	1.379254	2.057774	0.805919	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	1.117867	1.491992	0.358212	0.369429	0.504178	0.203343
28.000000	-1.800642	-1.240549	-2.799144	1.403354	2.412553	0.653175	1.124265	1.181203	1.114155	0.000000	0.000000	0.000000	1.115557	1.439255	0.783244	0.388579	0.607242	0.189415
29.000000	-1.835974	-1.221420	-2.455050	1.394995	2.248975	0.771435	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.959388	1.253781	0.036756	0.286212	0.490251	0.000000
30.000000	-2.089054	-1.422499	-3.317384	1.462496	2.223054	0.590468	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.726108	1.320778	-0.039088	0.238510	0.356546	0.000000
31.000000	-2.050602	-1.201396	-3.341664	1.281577	2.186799	0.723387	1.156776	1.277556	1.114155	0.000000	0.000000	0.000000	0.536080	1.088555	-0.096346	0.148329	0.231198	0.000000
32.000000	-2.229129	-1.164952	-2.986957	1.518482	2.243812	0.914666	1.142813	1.205479	1.114155	0.000000	0.000000	0.000000	0.689130	1.297743	-0.031726	0.256964	0.490251	0.000000
33.000000	-2.272973	-1.528906	-3.480135	1.464867	2.245811	0.646854	1.144799	1.325977	1.114155	0.000000	0.000000	0.000000	0.630913	1.091242	0.043560	0.294220	0.668524	0.111421
34.000000	-2.167503	-1.168378	-3.051832	1.367189	2.241840	0.778529	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.641139	1.299087	-0.015470	0.327298	0.662953	0.000000
35.000000	-1.621749	-1.006803	-3.237746	1.114513	2.302840	0.697747	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.794941	1.361979	-0.007293	0.188022	0.381616	0.000000
36.000000	-1.591533	-0.633747	-3.212679	1.024505	2.210523	0.447494	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.789468	1.256663	0.010847	0.242340	0.373259	0.000000
37.000000	-1.914157	-1.620048	-2.251628	1.101091	1.650769	0.748421	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.518012	1.125037	0.024788	0.216922	0.442897	0.000000
38.000000	-1.930387	-0.984787	-2.870768	1.397688	1.820687	0.587439	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.881247	1.327770	0.542326	0.299791	0.534819	0.175487
39.000000	-1.906120	-0.852460	-3.505615	1.308894	2.533599	0.663978	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.783990	1.182126	-0.028510	0.267061	0.534819	0.002786
40.000000	-2.343237	-1.219346	-3.883901	1.704102	2.661352	0.827722	1.131202	1.250524	1.114155	0.000000	0.000000	0.000000	0.810660	1.101638	0.313210	0.318593	0.551532	0.111421
41.000000	-1.620682	-1.052153	-2.467833	1.281620	1.865929	0.642847	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	1.072448	1.388012	0.782054	0.297354	0.373259	0.175487
42.000000	-1.919390	-1.189269	-2.710408	1.468855	2.371151	0.561304	1.126092	1.209649	1.114155	0.000000	0.000000	0.000000	0.942618	1.423510	0.000809	0.267061	0.504178	0.036212
43.000000	-2.191198	-0.805125	-4.238768	1.830977	3.358243	0.720640	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	1.074966	1.258827	0.553965	0.321031	0.454039	0.130919
44.000000	-1.468840	-0.742591	-2.594320	1.261046	2.494890	0.632285	1.123805	1.191355	1.114155	0.000000	0.000000	0.000000	1.154870	1.462399	0.677817	0.238858	0.370474	0.119777
45.000000	-2.338038	-0.857523	-4.414432	2.070005	3.766785	0.619241	1.126619	1.213866	1.114155	0.000000	0.000000	0.000000	1.160815	1.448515	0.778586	0.302228	0.442897	0.150418
46.000000	-1.817935	-1.169058	-3.299558	1.386853	2.719820	0.758944	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.881890	1.436136	0.428719	0.198816	0.359331	0.077994
47.000000	-1.883873	-1.214316	-2.606586	1.593636	2.001033	1.070170	1.117373	1.139899	1.114155	0.000000	0.000000	0.000000	1.078877	1.426797	0.597216	0.251741	0.362117	0.128134
48.000000	-1.799473	-1.389118	-2.973497	1.400111	2.177112	0.586677	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.979417	1.250456	0.333979	0.264624	0.487465	0.103064
49.000000	-1.755621	-1.255149	-2.436253	1.500486	2.334006	0.737211	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	1.136179	1.408403	0.749128	0.277159	0.392758	0.147632
50.000000	-1.798788	-1.297349	-2.214743	1.248067	1.841217	0.652257	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.828406	1.419293	0.050219	0.264972	0.504178	0.111421
51.000000	-1.809406	-0.997591	-2.470433	1.365231	1.924575	0.831554	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.889339	1.277844	-0.148277	0.219359	0.537604	0.022284
52.000000	-1.864500	-0.808406	-2.632509	1.557668	2.466693	0.831212	1.118059	1.145387	1.114155	0.000000	0.000000	0.000000	1.051826	1.370162	-0.044849	0.240599	0.392758	0.000000
53.000000	-1.760838	-1.128786	-3.084328	1.311547	2.307632	0.819278	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.907204	1.354581	-0.049742	0.242340	0.442897	0.000000
54.000000	-1.256397	-0.768817	-1.873798	1.077247	1.621907	0.554522	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	1.181872	1.490446	0.759398	0.246866	0.295265	0.150418
55.000000	-2.030474	-1.466895	-2.935985	1.372800	2.212260	0.732068	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.694643	1.167679	-0.072881	0.238162	0.342618	0.000000
56.000000	-2.162356	-1.494773	-3.182035	1.449255	2.707129	0.629609	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.621458	1.121845	-0.037614	0.220404	0.403900	0.000000
57.000000	-2.218766	-1.359244	-2.932567	1.587890	2.233467	0.747367	1.209844	1.698780	1.114155	0.000000	0.000000	0.000000	0.929944	1.458466	0.642609	0.350975	0.431755	0.242340
58.000000	-2.614195	-1.477398	-3.725420	1.911937	2.944153	0.734799	1.134613	1.263011	1.114155	0.000000	0.000000	0.000000	0.733539	1.069689	0.051518	0.301184	0.392758	0.114206
59.000000	-2.225340	-1.263127	-3.785580	1.747274	3.722845	0.966588	1.152560	1.296589	1.114155	0.000000	0.000000	0.000000	0.960357	1.617804	-0.015006	0.285864	0.562674	0.000000
60.000000	-2.304020	-1.260023	-3.617221	1.545756	3.016014	0.698910	1.114155	1.114155	1.114155	0.000000	0.000000	0.000000	0.564457	1.063625	-0.041138	0.208565	0.392758	0.000000
