iteration	fitness_arr_avg	fitness_arr_max	fitness_arr_min	fitness_arr_stab_avg	fitness_arr_stab_max	fitness_arr_stab_min	fitness_arr_coll_avg	fitness_arr_coll_max	fitness_arr_coll_min	fitness_arr_powr_avg	fitness_arr_powr_max	fitness_arr_powr_min	fitness_arr_dist_avg	fitness_arr_dist_max	fitness_arr_dist_min	fitness_arr_slip_avg	fitness_arr_slip_max	fitness_arr_slip_min
0.000000	-8.138652	-7.717930	-8.452712	0.408822	0.530637	0.343478	8.783462	9.013164	8.421893	0.000000	0.000000	0.000000	1.320345	1.387342	1.254874	0.266713	0.373259	0.186630
1.000000	-11.924366	-9.049730	-16.866104	1.654592	2.436958	0.618729	9.829233	12.617534	8.118636	0.000000	0.000000	0.000000	0.125616	1.126048	-1.224283	0.566156	0.696379	0.384401
2.000000	-8.678833	-7.287163	-9.760948	0.933822	1.116483	0.622013	8.037496	9.243550	7.269582	0.000000	0.000000	0.000000	0.759755	1.261717	0.429048	0.467270	0.640669	0.345404
3.000000	-8.119319	-6.270356	-9.310402	0.950756	1.457592	0.525276	7.605215	8.719090	6.240252	0.000000	0.000000	0.000000	0.982613	1.217349	0.682227	0.545961	0.637883	0.275766
4.000000	-7.910077	-5.761272	-9.293549	0.884924	1.519245	0.618479	7.342334	9.101308	4.657486	0.000000	0.000000	0.000000	0.770872	1.228840	0.013300	0.453691	0.601671	0.325905
5.000000	-6.912532	-4.831078	-10.083355	0.597479	0.849608	0.457106	6.187187	7.800293	4.432916	0.000000	0.000000	0.000000	0.322342	0.983592	-0.861714	0.450209	0.746518	0.284123
6.000000	-5.918282	-4.647928	-7.903172	0.612400	1.004227	0.474777	5.367724	7.149783	4.134329	0.000000	0.000000	0.000000	0.511006	0.896759	-0.608624	0.449164	0.623955	0.337047
7.000000	-5.946298	-4.957950	-7.194825	0.643773	1.177549	0.415259	5.246972	6.158274	4.134329	0.000000	0.000000	0.000000	0.344865	0.968324	-0.136515	0.400418	0.493036	0.328691
8.000000	-5.715822	-4.269108	-6.586207	0.765523	1.202449	0.482815	4.746452	5.845675	4.134327	0.000000	0.000000	0.000000	0.258548	0.746055	-0.525130	0.462396	0.621170	0.328691
9.000000	-4.899712	-4.304625	-5.575768	0.717945	0.993455	0.503578	4.298269	4.598988	4.134327	0.000000	0.000000	0.000000	0.562185	0.863878	-0.102211	0.445682	0.576602	0.261838
10.000000	-4.760761	-4.375157	-5.840760	0.584569	0.793856	0.376224	4.318192	4.619125	4.134327	0.000000	0.000000	0.000000	0.608226	0.817503	0.174831	0.466226	0.615599	0.337047
11.000000	-4.877124	-4.394703	-6.319272	0.614378	0.879447	0.426437	4.552023	5.873720	4.134329	0.000000	0.000000	0.000000	0.764556	0.922053	0.615333	0.475279	0.559889	0.406685
12.000000	-4.944091	-4.383166	-6.152346	0.641505	0.810485	0.496509	4.468482	5.572780	4.134327	0.000000	0.000000	0.000000	0.686091	0.782075	0.548035	0.520195	0.632312	0.445682
13.000000	-4.795736	-4.347960	-5.430420	0.655281	0.801264	0.510291	4.339051	4.836642	4.134327	0.000000	0.000000	0.000000	0.725058	0.878579	0.528697	0.526462	0.590529	0.409471
14.000000	-4.692766	-4.310972	-5.333935	0.660387	0.830240	0.498502	4.279707	4.683584	4.134327	0.000000	0.000000	0.000000	0.749417	0.924203	0.664480	0.502089	0.590529	0.392758
15.000000	-4.891665	-4.316792	-6.351891	0.651713	1.001080	0.414045	4.486756	5.588465	4.134327	0.000000	0.000000	0.000000	0.739840	0.844517	0.671692	0.493036	0.646240	0.412256
16.000000	-5.267384	-4.411574	-6.418384	0.704432	0.863408	0.492452	4.706994	5.752527	4.134327	0.000000	0.000000	0.000000	0.653096	0.906659	0.323515	0.509053	0.618384	0.392758
17.000000	-5.245018	-4.435371	-6.168184	0.639377	0.925051	0.459696	4.782852	5.613041	4.134327	0.000000	0.000000	0.000000	0.653882	0.847175	0.478862	0.476671	0.654596	0.203343
18.000000	-4.871103	-4.500899	-5.601213	0.603709	0.851623	0.413167	4.560703	5.294622	4.134327	0.000000	0.000000	0.000000	0.698601	0.878077	0.585271	0.405292	0.554318	0.292479
19.000000	-5.590956	-4.984234	-6.712841	0.745919	1.030385	0.460906	4.927885	6.418051	4.134327	0.000000	0.000000	0.000000	0.506595	0.820004	-0.128912	0.423747	0.501393	0.356546
20.000000	-5.237559	-4.383450	-7.011302	0.548555	0.722741	0.431187	4.848491	6.526784	4.352778	0.000000	0.000000	0.000000	0.539710	0.889503	0.328458	0.380223	0.476323	0.270195
21.000000	-4.809615	-4.243702	-5.945134	0.610812	0.910301	0.329493	4.451237	4.970521	4.134327	0.000000	0.000000	0.000000	0.617337	0.781749	0.193375	0.364903	0.543175	0.178273
22.000000	-4.985073	-4.269476	-6.004117	0.736855	1.497741	0.424645	4.412780	4.970119	4.134329	0.000000	0.000000	0.000000	0.551052	0.833036	-0.031647	0.386490	0.523677	0.256267
23.000000	-5.168753	-4.137372	-6.742671	0.586335	0.953348	0.411854	4.734507	6.024907	4.134327	0.000000	0.000000	0.000000	0.579316	0.836785	-0.172267	0.427228	0.590529	0.309192
