iteration	fitness_arr_avg	fitness_arr_max	fitness_arr_min	fitness_arr_stab_avg	fitness_arr_stab_max	fitness_arr_stab_min	fitness_arr_coll_avg	fitness_arr_coll_max	fitness_arr_coll_min	fitness_arr_powr_avg	fitness_arr_powr_max	fitness_arr_powr_min	fitness_arr_dist_avg	fitness_arr_dist_max	fitness_arr_dist_min	fitness_arr_slip_avg	fitness_arr_slip_max	fitness_arr_slip_min
0.000000	-0.090955	-0.057011	-0.136936	0.089054	0.122960	0.059893	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001901	0.015272	-0.018240	0.000000	0.000000	0.000000
1.000000	-1.258805	-0.045951	-5.411115	1.040595	4.821673	0.060075	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.073221	0.799252	-1.068572	0.144988	0.501193	0.000000
2.000000	-0.139470	-0.049515	-0.435298	0.114503	0.258230	0.066312	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.022356	0.201512	-0.027382	0.047322	0.378580	0.000000
3.000000	-0.076789	1.240169	-1.243638	0.238151	1.241893	0.060290	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.173779	1.483877	-0.076946	0.012418	0.099344	0.000000
4.000000	0.586540	2.455110	-0.413141	0.312953	1.504368	0.070750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.978028	2.859488	0.006575	0.078535	0.158413	0.000000
5.000000	-0.273704	2.190049	-6.275579	2.208799	8.000000	0.139770	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.145305	2.968317	0.688827	0.210210	0.397375	0.146778
6.000000	-0.113491	2.622303	-7.870717	2.521024	8.000000	0.341319	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.664507	4.474249	0.577672	0.256973	0.448389	0.182578
7.000000	0.539383	3.076698	-6.864173	1.763044	7.626801	0.058874	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.561526	4.465230	0.003107	0.259099	0.434069	0.000000
8.000000	1.380882	3.775669	-2.107517	2.137070	5.338373	0.400905	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.884114	4.793580	3.147892	0.366162	0.452864	0.274761
9.000000	1.490625	4.084514	-5.232347	2.400873	8.000000	0.418513	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.260120	4.836771	3.273322	0.368623	0.505668	0.261337
10.000000	1.239715	3.989924	-4.113604	2.698417	7.879599	0.249774	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.274088	4.830400	3.311574	0.335956	0.465394	0.172733
11.000000	1.466183	3.138034	-4.099442	1.896166	6.606188	0.273832	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.740818	4.762535	2.762925	0.378468	0.529833	0.251492
