iteration	fitness_arr_avg	fitness_arr_max	fitness_arr_min	fitness_arr_stab_avg	fitness_arr_stab_max	fitness_arr_stab_min	fitness_arr_coll_avg	fitness_arr_coll_max	fitness_arr_coll_min	fitness_arr_powr_avg	fitness_arr_powr_max	fitness_arr_powr_min	fitness_arr_dist_avg	fitness_arr_dist_max	fitness_arr_dist_min	fitness_arr_slip_avg	fitness_arr_slip_max	fitness_arr_slip_min
0.000000	-2.317840	-2.092562	-2.594429	0.045925	0.078944	0.025579	3.017924	3.261254	2.853618	0.000000	0.000000	0.000000	0.877450	0.931180	0.822457	0.131442	0.185237	0.089136
1.000000	-4.255131	-2.191795	-6.712413	1.506846	4.061557	0.186693	3.094568	4.177142	2.089183	0.000000	0.000000	0.000000	0.607599	0.840418	0.196787	0.261316	0.311978	0.211699
2.000000	-2.063121	-1.195740	-3.000164	0.290473	0.523742	0.089870	2.366983	3.203396	1.565566	0.000000	0.000000	0.000000	0.842072	0.912916	0.772533	0.247737	0.334262	0.149025
3.000000	-1.799822	-1.549973	-2.117236	0.334400	0.468734	0.212101	2.065758	2.288014	1.800110	0.000000	0.000000	0.000000	0.852600	0.882718	0.831188	0.252263	0.344011	0.178273
4.000000	-1.748808	-1.530068	-2.177339	0.329985	0.611179	0.121722	2.008301	2.360955	1.610123	0.000000	0.000000	0.000000	0.835648	0.911728	0.771987	0.246170	0.337047	0.151811
5.000000	-1.728909	-1.316339	-2.047213	0.307001	0.544763	0.123407	2.028972	2.471305	1.732280	0.000000	0.000000	0.000000	0.851493	0.933246	0.747504	0.244429	0.316156	0.181058
6.000000	-1.356619	-0.999897	-1.756322	0.261888	0.553517	0.094540	1.714925	2.029165	1.432639	0.000000	0.000000	0.000000	0.847910	0.919585	0.791882	0.227716	0.307799	0.137883
7.000000	-1.571182	-1.279292	-1.745059	0.241872	0.421917	0.155538	1.911062	2.174608	1.720006	0.000000	0.000000	0.000000	0.854211	0.909584	0.812965	0.272458	0.302228	0.218663
8.000000	-0.948324	-0.774972	-1.209581	0.135309	0.275069	0.055656	1.455822	1.539207	1.295486	0.000000	0.000000	0.000000	0.873135	0.902471	0.845594	0.230327	0.286908	0.193593
9.000000	-1.172972	-0.878959	-1.668817	0.160115	0.251892	0.056768	1.603229	1.905358	1.377922	0.000000	0.000000	0.000000	0.852907	0.890016	0.801673	0.262535	0.366295	0.211699
10.000000	-1.031143	-0.796173	-1.372603	0.169433	0.302970	0.085936	1.468422	1.626879	1.274547	0.000000	0.000000	0.000000	0.852708	0.911997	0.800978	0.245996	0.285515	0.201950
11.000000	-0.988964	-0.640364	-1.344298	0.298726	0.551748	0.099454	1.322401	1.471493	1.207507	0.000000	0.000000	0.000000	0.855701	0.905150	0.780733	0.223538	0.288301	0.181058
12.000000	-1.197321	-0.969545	-1.451542	0.251350	0.428489	0.072304	1.544150	1.622950	1.374865	0.000000	0.000000	0.000000	0.858277	0.906306	0.821955	0.260097	0.325905	0.207521
13.000000	-0.930816	-0.708010	-1.132548	0.138314	0.296015	0.068893	1.434003	1.620112	1.333089	0.000000	0.000000	0.000000	0.860512	0.927955	0.825300	0.219011	0.284123	0.158774
14.000000	-0.905886	-0.737678	-1.247288	0.097139	0.162966	0.052347	1.441749	1.665079	1.343464	0.000000	0.000000	0.000000	0.860892	0.891869	0.828051	0.227890	0.306407	0.169916
15.000000	-0.908956	-0.466971	-1.198047	0.139523	0.421620	0.042846	1.401905	1.717352	1.089315	0.000000	0.000000	0.000000	0.859665	0.880086	0.841056	0.227194	0.264624	0.157382
16.000000	-0.724678	-0.467563	-0.939172	0.118187	0.181288	0.059916	1.233381	1.310622	1.106988	0.000000	0.000000	0.000000	0.852169	0.906758	0.806382	0.225279	0.327298	0.147632
17.000000	-1.168293	-0.635009	-1.474101	0.131593	0.228015	0.058259	1.615391	1.855979	1.169892	0.000000	0.000000	0.000000	0.858461	0.915637	0.836930	0.279770	0.346797	0.190808
