iteration	fitness_arr_avg	fitness_arr_max	fitness_arr_min	fitness_arr_stab_avg	fitness_arr_stab_max	fitness_arr_stab_min	fitness_arr_coll_avg	fitness_arr_coll_max	fitness_arr_coll_min	fitness_arr_powr_avg	fitness_arr_powr_max	fitness_arr_powr_min	fitness_arr_dist_avg	fitness_arr_dist_max	fitness_arr_dist_min	fitness_arr_slip_avg	fitness_arr_slip_max	fitness_arr_slip_min
0.000000	-0.409132	-0.234115	-0.598108	0.243621	0.519991	0.068762	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.283392	0.384886	0.220202	0.448903	0.490947	0.386490
1.000000	-0.583934	-0.225502	-0.850755	0.472463	0.836852	0.071515	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.328815	0.877060	0.140039	0.440286	0.553621	0.365599
2.000000	-0.441835	-0.168078	-0.683838	0.574172	1.186543	0.091457	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.537238	0.943513	0.303602	0.404901	0.440808	0.380223
3.000000	-0.517311	-0.170517	-1.315139	0.693526	1.865685	0.103039	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.604227	1.151701	0.241238	0.428012	0.507660	0.344708
4.000000	-0.482369	-0.093947	-1.177752	0.686473	1.416267	0.088156	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.593858	1.256104	0.345926	0.389755	0.458565	0.360376
5.000000	-0.303298	-0.072216	-0.736555	0.288627	0.665434	0.093552	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.315412	0.688193	0.160232	0.330084	0.401114	0.216226
6.000000	-0.184575	-0.046185	-0.323751	0.145050	0.309266	0.033526	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.308186	0.356230	0.260172	0.347711	0.462744	0.158774
7.000000	-0.193086	-0.075542	-0.374466	0.117513	0.193833	0.055795	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.293421	0.334349	0.241029	0.368994	0.510794	0.221448
8.000000	-0.199695	0.040854	-0.470185	0.134310	0.289221	0.028018	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.261826	0.320969	0.174136	0.327211	0.547354	0.172354
9.000000	-0.202619	0.019109	-0.626547	0.162170	0.415954	0.050494	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.261562	0.324940	0.236605	0.302011	0.479457	0.103412
10.000000	-0.147286	0.080765	-0.310967	0.207433	1.023794	0.035881	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.348709	0.957339	0.190554	0.288562	0.487813	0.157730
11.000000	-0.143727	-0.019784	-0.341846	0.197010	0.686335	0.058574	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.344587	0.708403	0.225677	0.291304	0.484680	0.197423
12.000000	-0.175732	0.034494	-0.512840	0.341495	1.009281	0.037998	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.432389	0.755494	0.228890	0.266626	0.406337	0.102368
13.000000	-0.366029	0.014177	-0.898008	0.409437	1.348674	0.079105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.325442	0.735833	0.083238	0.282033	0.355153	0.180710
14.000000	-0.256068	0.052381	-0.620643	0.404481	1.213953	0.086903	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.415692	0.886834	0.256627	0.267279	0.364554	0.155641
15.000000	-0.137119	-0.002692	-0.343345	0.166615	0.379086	0.073638	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.310876	0.402092	0.188790	0.281381	0.408426	0.174443
16.000000	-0.192169	0.106389	-0.375905	0.234778	0.704862	0.029578	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.352323	0.633116	0.243806	0.309714	0.525418	0.167131
17.000000	-0.108753	0.119088	-0.548799	0.284511	1.077631	0.031160	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.423321	0.883986	0.247015	0.247563	0.355153	0.174443
18.000000	-0.093843	0.109176	-0.414290	0.134036	0.218712	0.044730	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.336850	0.433975	0.188709	0.296657	0.437674	0.200557
19.000000	-0.108666	0.142044	-0.321032	0.096018	0.183819	0.036408	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.309992	0.418861	0.232750	0.322641	0.529596	0.161908
20.000000	-0.049453	0.492711	-0.502136	0.166567	0.832097	0.032246	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.405938	0.792137	0.213151	0.288823	0.430362	0.097145
21.000000	0.099623	0.605238	-0.203902	0.187282	0.497097	0.027001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.538646	0.806605	0.333795	0.251741	0.486769	0.061630
22.000000	-0.052143	0.415985	-0.576633	0.387544	1.200505	0.095232	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.537917	0.880836	0.296258	0.202516	0.411560	0.073120
23.000000	-0.009453	0.618996	-0.508380	0.434919	1.168894	0.022407	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.668458	1.067754	0.284026	0.242993	0.529596	0.072075
24.000000	0.084675	0.729745	-0.643055	0.486549	1.395458	0.154971	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.762772	1.099445	0.395990	0.191548	0.296657	0.061630
25.000000	0.005186	0.484214	-0.704672	0.487860	1.364450	0.066768	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.669577	0.992442	0.245654	0.176532	0.267409	0.119081
26.000000	-0.126823	0.744805	-0.870592	0.691955	1.459605	0.158326	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.773523	1.028479	0.322026	0.208391	0.295613	0.106546
27.000000	0.077411	0.839766	-0.946133	0.672216	1.636948	0.097851	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.927726	1.138227	0.677041	0.178099	0.283078	0.059540
28.000000	-0.049288	0.932299	-1.393968	0.660195	1.648092	0.173370	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.843846	1.296826	0.559464	0.232939	0.446031	0.121170
29.000000	0.014385	0.788662	-0.658084	0.605984	1.102268	0.146848	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.821318	1.104935	0.489748	0.200949	0.261142	0.109680
30.000000	-0.087609	0.777029	-1.585679	0.600747	1.748960	0.090721	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.711476	1.009666	0.310032	0.198337	0.407382	0.121170
31.000000	0.081111	0.802790	-0.424998	0.499365	1.087357	0.087906	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.784950	1.098031	0.253635	0.204474	0.249652	0.101323
32.000000	0.136940	0.659863	-0.565474	0.440712	1.122794	0.083231	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.752486	1.246709	0.304637	0.174835	0.232939	0.100279
33.000000	0.136813	0.761984	-1.334244	0.548339	1.633118	0.130889	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.892629	1.185719	0.490341	0.207477	0.381267	0.121170
34.000000	0.356107	0.995830	-0.376244	0.458473	0.699511	0.176617	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.974138	1.352345	0.573261	0.159558	0.276811	0.110724
35.000000	0.072361	0.596969	-0.671394	0.652522	1.369954	0.164886	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.908988	1.303398	0.491667	0.184105	0.275766	0.125348
36.000000	0.254929	0.850588	-0.721638	0.722378	1.355354	0.142898	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.142741	1.363810	0.831139	0.165433	0.205780	0.115947
37.000000	0.129635	0.774487	-1.142610	0.508495	1.420008	0.065849	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.814532	1.038804	0.594946	0.176401	0.317549	0.112813
38.000000	0.292592	0.933775	-0.210954	0.241452	0.618551	0.074933	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.693341	1.120124	0.195252	0.159297	0.212047	0.090877
39.000000	0.139002	0.729118	-0.318538	0.564790	1.239135	0.131825	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.876929	1.241194	0.377116	0.173137	0.248607	0.116992
40.000000	0.027418	0.665931	-0.408314	0.529346	0.805463	0.262100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.780302	1.155194	0.487236	0.223538	0.322772	0.165042
41.000000	0.173800	0.889776	-0.564753	0.377549	0.968580	0.098076	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.802046	1.413238	0.201562	0.250696	0.336351	0.136838
42.000000	0.051503	0.636447	-0.420570	0.585311	1.034727	0.106947	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.920284	1.522963	0.295214	0.283470	0.365599	0.201602
43.000000	0.478738	0.966619	0.091281	0.436607	0.894136	0.122326	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.174528	1.379838	0.763844	0.259183	0.331128	0.163997
44.000000	0.160791	0.799069	-0.416590	0.587255	0.930432	0.110372	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.982030	1.187511	0.692063	0.233983	0.286212	0.194290
45.000000	0.096387	1.066749	-0.756711	0.393347	1.102767	0.053680	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.767850	1.399043	0.334091	0.278116	0.352019	0.183844
46.000000	0.326410	0.828178	-0.125225	0.326632	0.697481	0.144403	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.855166	1.324617	0.364504	0.202124	0.290390	0.118036
47.000000	0.189566	0.975732	-0.443077	0.612782	1.276565	0.067477	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.053045	1.610106	0.337662	0.250696	0.368733	0.148329
48.000000	0.208485	1.026193	-0.675333	0.443700	1.135313	0.084765	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.875201	1.328354	0.386541	0.223015	0.316504	0.131616
49.000000	0.209693	1.021996	-0.504666	0.687686	1.440784	0.146096	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.123920	1.798715	0.770638	0.226541	0.277855	0.161908
50.000000	0.263350	0.827218	-0.669315	0.647617	1.219098	0.138682	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.126670	1.510686	0.865243	0.215703	0.315460	0.128482
51.000000	0.015020	0.453837	-0.828819	0.855189	1.430360	0.487539	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.067893	1.287869	0.769420	0.197685	0.311281	0.118036
52.000000	0.426938	1.170695	-0.373765	0.671851	1.252647	0.275796	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.304699	1.650063	0.983670	0.205911	0.318593	0.113858
53.000000	0.174020	1.691789	-0.713665	0.737501	1.455507	0.164137	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.126702	2.012611	0.678238	0.215181	0.316504	0.105501
54.000000	0.587895	1.568949	-0.778301	0.675987	1.400175	0.186852	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.478541	1.894729	0.955091	0.214659	0.333217	0.138928
55.000000	0.594837	1.598951	-0.662934	0.644654	1.201279	0.149177	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.452061	1.940303	0.867383	0.212570	0.329039	0.126393
56.000000	0.506263	1.690827	-0.227849	0.477411	0.783545	0.140176	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.206298	1.952173	0.583556	0.222624	0.345752	0.121170
57.000000	0.650364	1.522150	-0.297312	0.509417	0.966133	0.212637	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.385016	1.987351	0.843013	0.225235	0.354109	0.143106
58.000000	0.573883	1.392773	-0.560798	0.483280	1.090393	0.150494	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.275348	1.740471	0.579560	0.218184	0.358287	0.139972
59.000000	0.811521	1.482979	-0.139288	0.332759	0.695408	0.141268	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.381396	1.949871	0.611279	0.237117	0.320682	0.178621
60.000000	0.239768	1.702276	-0.423403	0.659706	1.199130	0.127251	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.141683	1.988301	0.691396	0.242209	0.320682	0.138928
61.000000	0.026989	0.865627	-1.227843	0.664869	1.727083	0.089278	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.972716	1.378196	0.632837	0.280858	0.380223	0.177577
62.000000	0.597971	1.552750	-0.497736	0.470186	0.957122	0.095031	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.291043	1.916031	0.794693	0.222885	0.335306	0.118036
63.000000	0.304697	1.689255	-0.764504	0.701130	1.364327	0.117143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.239157	1.980841	0.855062	0.233330	0.346797	0.131616
64.000000	0.896443	1.599946	-0.839453	0.435439	1.377724	0.112563	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.546802	1.963973	0.869400	0.214920	0.331128	0.154596
65.000000	0.820204	1.420261	0.270360	0.395135	0.825435	0.139207	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.448017	1.796450	1.160948	0.232678	0.296657	0.184889
66.000000	0.521624	1.388904	-0.901139	0.527755	1.686700	0.149835	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.293939	1.791785	0.587776	0.244560	0.343663	0.143106
67.000000	0.580071	1.606589	-0.129322	0.598850	1.005913	0.180337	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.408856	2.120638	0.834280	0.229936	0.289345	0.163997
68.000000	0.858754	1.426046	-0.219142	0.474606	1.176695	0.101103	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.568910	1.893425	0.858732	0.235550	0.277855	0.171309
69.000000	0.478447	1.455315	-0.876379	0.717231	1.502901	0.258367	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.449638	2.153574	0.857920	0.253961	0.322772	0.159819
70.000000	0.438282	1.633416	-0.783594	0.731786	1.609841	0.168784	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.440612	2.039337	0.948308	0.270543	0.352019	0.144150
71.000000	0.668967	1.626686	-0.050397	0.742527	1.057359	0.318186	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.655531	2.116182	0.932838	0.244037	0.317549	0.171309
72.000000	0.686184	1.448433	-0.278095	0.564555	1.025218	0.254730	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.531206	2.052609	1.042736	0.280467	0.331128	0.213092
73.000000	0.798041	1.694021	-0.668507	0.508998	1.318422	0.271578	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.544156	2.166990	0.953884	0.237117	0.303969	0.177577
74.000000	0.119580	1.441778	-1.039448	0.957632	1.659461	0.188540	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.369169	1.886858	0.974122	0.291957	0.402159	0.175487
75.000000	0.728820	1.816576	-0.734077	0.623336	1.404467	0.165879	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.585095	2.166299	0.959072	0.232939	0.311281	0.183844
76.000000	0.871578	1.620394	-0.697539	0.555112	1.311980	0.129405	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.656103	1.992269	0.937213	0.229413	0.322772	0.155641
77.000000	0.750206	1.627395	-0.421770	0.518591	0.994258	0.118320	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.524324	2.040957	0.874369	0.255528	0.301880	0.184889
78.000000	0.799459	1.579461	0.002252	0.531964	0.951892	0.142590	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.575852	2.035071	1.192305	0.244429	0.289345	0.184889
